0,1,2
https://pubchem.ncbi.nlm.nih.gov/compound/311,77-92-9,"1192555-95-5, 12262-73-6, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7, 1192555-95-5, 136108-93-5, 2023788-69-2, 245654-34-6, 43136-35-2, 623158-96-3, 856568-15-5, 878903-72-1, 890704-54-8, 896506-46-0, 906507-37-7"
https://pubchem.ncbi.nlm.nih.gov/compound/305,"62-49-7, 5413-08-1","139741-81-4, 2087491-45-8, 139741-81-4, 2072809-41-5, 2087491-45-8"
https://pubchem.ncbi.nlm.nih.gov/compound/23925,"7439-89-6, 33485-98-2, 8048-10-0, 12597-68-1, 14067-02-8, 8053-60-9","129048-51-7, 161135-39-3, 1867181-06-3, 190454-13-8, 195161-83-2, 199281-22-6, 2230894-10-5, 39344-71-3, 443783-52-6, 490018-39-8, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 129048-51-7, 161135-39-3, 190454-13-8, 195161-83-2, 199281-22-6, 39344-71-3, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9"
https://pubchem.ncbi.nlm.nih.gov/compound/6083,"61-19-8, 136920-07-5, 82530-89-0","162756-82-3, 47286-65-7, 47287-97-8, 53624-78-5, 67583-85-1, 697214-87-2, 162756-82-3, 47286-65-7, 47287-97-8, 53624-78-5, 67583-85-1"
https://pubchem.ncbi.nlm.nih.gov/compound/5462222,7440-09-7,31079-13-7
https://pubchem.ncbi.nlm.nih.gov/compound/67145,122-25-8,
https://pubchem.ncbi.nlm.nih.gov/compound/10909430,"1405-87-4, 22601-59-8","12640-37-8, 1405-75-0, 60454-67-3, 20893-34-9, 21373-17-1"
https://pubchem.ncbi.nlm.nih.gov/compound/51049968,"1289023-67-1, 1374024-48-2",
https://pubchem.ncbi.nlm.nih.gov/compound/1118,"7664-93-9, 12772-98-4, 14808-79-8","119540-51-1, 127529-01-5, 140623-70-7, 119540-51-1, 127529-01-5, 140623-70-7, 1973539-23-9"
https://pubchem.ncbi.nlm.nih.gov/compound/444266,"110-16-7, 26099-09-2, 10237-70-4","1975169-66-4, 1253590-15-6, 1393887-65-4, 1431524-06-9, 2815431-94-6, 31050-04-1"
https://pubchem.ncbi.nlm.nih.gov/compound/9822750,103129-82-4,
https://pubchem.ncbi.nlm.nih.gov/compound/6918837,404950-80-7,
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/1118,"7664-93-9, 12772-98-4, 14808-79-8","119540-51-1, 127529-01-5, 140623-70-7, 119540-51-1, 127529-01-5, 140623-70-7, 1973539-23-9"
https://pubchem.ncbi.nlm.nih.gov/compound/124087,100643-71-8,
https://pubchem.ncbi.nlm.nih.gov/compound/6395,75-75-2,"1129867-34-0, 115449-98-4, 125756-91-4, 1821687-51-7, 44209-64-5, 44209-72-5, 62203-24-1, 87128-90-3, 98527-29-8, 1129867-34-0, 115449-98-4, 125756-91-4, 44209-64-5, 44209-72-5, 62203-24-1, 87128-90-3"
https://pubchem.ncbi.nlm.nih.gov/compound/65016,161814-49-9,
https://pubchem.ncbi.nlm.nih.gov/compound/6323289,112362-50-2,
https://pubchem.ncbi.nlm.nih.gov/compound/6395,75-75-2,"1129867-34-0, 115449-98-4, 125756-91-4, 1821687-51-7, 44209-64-5, 44209-72-5, 62203-24-1, 87128-90-3, 98527-29-8, 1129867-34-0, 115449-98-4, 125756-91-4, 44209-64-5, 44209-72-5, 62203-24-1, 87128-90-3"
https://pubchem.ncbi.nlm.nih.gov/compound/6395,75-75-2,"1129867-34-0, 115449-98-4, 125756-91-4, 1821687-51-7, 44209-64-5, 44209-72-5, 62203-24-1, 87128-90-3, 98527-29-8, 1129867-34-0, 115449-98-4, 125756-91-4, 44209-64-5, 44209-72-5, 62203-24-1, 87128-90-3"
https://pubchem.ncbi.nlm.nih.gov/compound/5388937,120138-50-3,"143564-20-9, 143840-51-1, 176708-57-9"
https://pubchem.ncbi.nlm.nih.gov/compound/1118,"7664-93-9, 12772-98-4, 14808-79-8","119540-51-1, 127529-01-5, 140623-70-7, 119540-51-1, 127529-01-5, 140623-70-7, 1973539-23-9"
https://pubchem.ncbi.nlm.nih.gov/compound/5078,"144034-80-0, 145202-66-0",
https://pubchem.ncbi.nlm.nih.gov/compound/1118,"7664-93-9, 12772-98-4, 14808-79-8","119540-51-1, 127529-01-5, 140623-70-7, 119540-51-1, 127529-01-5, 140623-70-7, 1973539-23-9"
https://pubchem.ncbi.nlm.nih.gov/compound/5362440,150378-17-9,"166746-42-5, 216884-06-9, 166746-42-5"
https://pubchem.ncbi.nlm.nih.gov/compound/702,"64-17-5, 2154-50-9, 2348-46-1","121182-78-3, 8000-16-6, 8024-45-1, 8000-16-6, 8024-45-1"
https://pubchem.ncbi.nlm.nih.gov/compound/60825,134678-17-4,"1117764-41-6, 480434-79-5"
https://pubchem.ncbi.nlm.nih.gov/compound/887,"67-56-1, 2597-43-5, 2143-68-2","1173023-83-0, 1196157-60-4, 54841-71-3, 1173023-83-0, 54841-71-3"
https://pubchem.ncbi.nlm.nih.gov/compound/447043,83905-01-5,"104491-80-7, 142556-82-9, 142556-82-9"
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/3776,"67-63-0, 3958-66-5",8013-70-5
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/313,"7647-01-0, 22537-15-1","113962-65-5, 218625-68-4, 51005-19-7, 61674-62-2"
https://pubchem.ncbi.nlm.nih.gov/compound/2764,85721-33-1,"1234562-12-9, 189257-90-7"
https://pubchem.ncbi.nlm.nih.gov/compound/6321411,"97164-56-2, 79350-37-1",
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/1110,110-15-6,"2087491-34-5, 623158-99-6"
https://pubchem.ncbi.nlm.nih.gov/compound/16078,"1972-08-3, 6465-30-1","1363-19-5, 14146-29-3, 14146-43-1, 26108-45-2, 5957-27-7"
https://pubchem.ncbi.nlm.nih.gov/compound/313,"7647-01-0, 22537-15-1","113962-65-5, 218625-68-4, 51005-19-7, 61674-62-2"
https://pubchem.ncbi.nlm.nih.gov/compound/5464084,14119-09-6,
https://pubchem.ncbi.nlm.nih.gov/compound/23925,"7439-89-6, 33485-98-2, 8048-10-0, 12597-68-1, 14067-02-8, 8053-60-9","129048-51-7, 161135-39-3, 1867181-06-3, 190454-13-8, 195161-83-2, 199281-22-6, 2230894-10-5, 39344-71-3, 443783-52-6, 490018-39-8, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 129048-51-7, 161135-39-3, 190454-13-8, 195161-83-2, 199281-22-6, 39344-71-3, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9"
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/10690,"19222-41-4, 526-95-4, 133-42-6, 10024-51-8, 10361-31-6","723724-74-1, 880385-91-1, 887830-55-9"
https://pubchem.ncbi.nlm.nih.gov/compound/26476,"14133-76-7, 154361-49-6",378784-45-3
https://pubchem.ncbi.nlm.nih.gov/compound/219087,106719-74-8,
https://pubchem.ncbi.nlm.nih.gov/compound/26476,"14133-76-7, 154361-49-6",378784-45-3
https://pubchem.ncbi.nlm.nih.gov/compound/5460341,7440-70-2,8047-59-4
https://pubchem.ncbi.nlm.nih.gov/compound/3053,67-43-6,"13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 782415-12-7, 803683-39-8, 84932-15-0, 13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 803683-39-8, 84932-15-0"
https://pubchem.ncbi.nlm.nih.gov/compound/5360545,7440-23-5,"1061193-24-5, 184637-88-5, 213530-35-9, 351903-26-9, 1061193-24-5, 184637-88-5, 351903-26-9"
https://pubchem.ncbi.nlm.nih.gov/compound/26476,"14133-76-7, 154361-49-6",378784-45-3
https://pubchem.ncbi.nlm.nih.gov/compound/66348,"10544-50-0, 1326-66-5",
https://pubchem.ncbi.nlm.nih.gov/compound/54670067,"50-81-7, 6730-29-6, 53262-66-1, 62624-30-0, 24808-52-4, 89924-69-6","1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 259133-78-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 1018124-03-2, 1129294-89-8, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 2252244-20-3, 259133-78-3, 2635329-14-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 623158-95-2, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 896436-13-8, 89924-69-6, 1018124-03-2, 129940-97-2, 1428525-25-0, 14536-17-5, 154170-90-8, 1703051-92-6, 259133-78-3, 30208-61-8, 50976-75-5, 56172-55-5, 56533-05-2, 57304-74-2, 57606-40-3, 882690-91-7, 884381-69-5, 885512-24-3, 88845-26-5, 89924-69-6"
https://pubchem.ncbi.nlm.nih.gov/compound/23925,"7439-89-6, 33485-98-2, 8048-10-0, 12597-68-1, 14067-02-8, 8053-60-9","129048-51-7, 161135-39-3, 1867181-06-3, 190454-13-8, 195161-83-2, 199281-22-6, 2230894-10-5, 39344-71-3, 443783-52-6, 490018-39-8, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9, 129048-51-7, 161135-39-3, 190454-13-8, 195161-83-2, 199281-22-6, 39344-71-3, 675141-17-0, 70884-35-4, 73135-38-3, 8011-79-8, 8053-60-9"
https://pubchem.ncbi.nlm.nih.gov/compound/3053,67-43-6,"13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 782415-12-7, 803683-39-8, 84932-15-0, 13407-13-1, 25737-54-6, 49758-21-6, 573987-64-1, 6889-50-5, 7575-40-8, 803683-39-8, 84932-15-0"
https://pubchem.ncbi.nlm.nih.gov/compound/26476,"14133-76-7, 154361-49-6",378784-45-3
https://pubchem.ncbi.nlm.nih.gov/compound/26476,"14133-76-7, 154361-49-6",378784-45-3
https://pubchem.ncbi.nlm.nih.gov/compound/47894,66292-52-2,
https://pubchem.ncbi.nlm.nih.gov/compound/30487,"634-03-7, 21784-30-5","16311-86-7, 711-71-7"
https://pubchem.ncbi.nlm.nih.gov/compound/1110,110-15-6,"2087491-34-5, 623158-99-6"
https://pubchem.ncbi.nlm.nih.gov/compound/444972,"110-17-8, 6915-18-0, 498-24-8, 26099-09-2, 123548-45-8","623158-97-4, 909873-99-0, 623158-97-4"
https://pubchem.ncbi.nlm.nih.gov/compound/30487,"634-03-7, 21784-30-5","16311-86-7, 711-71-7"
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/6215,67-73-2,
https://pubchem.ncbi.nlm.nih.gov/compound/3084474,27297-42-3,
https://pubchem.ncbi.nlm.nih.gov/compound/5360545,7440-23-5,"1061193-24-5, 184637-88-5, 213530-35-9, 351903-26-9, 1061193-24-5, 184637-88-5, 351903-26-9"
https://pubchem.ncbi.nlm.nih.gov/compound/2913,"129-03-3, 41354-29-4",
https://pubchem.ncbi.nlm.nih.gov/compound/1051,54-47-7,"1071665-72-9, 52064-48-9, 52441-27-7, 52441-27-7"
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/56339,93390-81-9,
https://pubchem.ncbi.nlm.nih.gov/compound/5360545,7440-23-5,"1061193-24-5, 184637-88-5, 213530-35-9, 351903-26-9, 1061193-24-5, 184637-88-5, 351903-26-9"
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/29109,18496-25-8,
https://pubchem.ncbi.nlm.nih.gov/compound/5462222,7440-09-7,31079-13-7
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/750,"56-40-6, 25718-94-9, 18875-39-3","1119449-36-3, 1153953-88-8, 1173020-11-5, 1196157-78-4, 52955-63-2, 57678-19-0, 848646-45-7, 87867-94-5, 1119449-36-3, 1153953-88-8, 1196157-78-4, 52955-63-2, 57678-19-0, 848646-45-7, 87867-94-5"
https://pubchem.ncbi.nlm.nih.gov/compound/5359268,"7429-90-5, 91728-14-2","1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 1107613-92-2, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 1374563-19-5, 1374563-22-0, 1621997-91-8, 1799386-26-7, 182260-45-3, 1826890-06-5, 185464-37-3, 1946759-18-7, 2014335-16-9, 2247261-17-0, 2247261-42-1, 2247261-50-1, 2250318-40-0, 2412445-90-8, 257888-99-6, 2701539-61-7, 2758176-71-3, 2826961-24-2, 2832056-54-7, 2923573-53-7, 2923573-54-8, 2923573-55-9, 2924823-56-1, 298688-47-8, 349608-51-1, 37202-64-5, 39302-71-1, 39332-62-2, 477951-22-7, 80341-19-1, 91728-14-2, 934749-46-9, 1107614-02-7, 113962-66-6, 121630-48-6, 12766-45-9, 182260-45-3, 185464-37-3, 257888-99-6, 298688-47-8, 37202-64-5, 39302-71-1, 39332-62-2, 80341-19-1, 91728-14-2, 934749-46-9"
https://pubchem.ncbi.nlm.nih.gov/compound/962,"7732-18-5, 17778-80-2, 3352-57-6","1202864-49-0, 1371582-34-1, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 1371582-34-1, 2886715-16-6, 558440-22-5, 558440-53-2, 652133-48-7, 1202864-49-0, 558440-53-2"
https://pubchem.ncbi.nlm.nih.gov/compound/313,"7647-01-0, 22537-15-1","113962-65-5, 218625-68-4, 51005-19-7, 61674-62-2"
